country,growth_pct,arrivals_2025,arrivals_2019
India,70.2,1244969,731455
Italy,69.8,93820,55240
Russia,57.7,121734,77179
France,45.9,200775,137569
Bangladesh,40.7,252301,179335
Germany,40.4,176097,125459
China,29.2,3965140,3069393
Pakistan,21.1,129493,106897
Canada,13.3,97885,86423
United Kingdom,10.8,375380,338868
Chinese Taipei,9.1,400067,366737
Australia,8.9,420684,386382
USA,8.0,291765,270256
Netherlands,7.9,88439,81993
Indonesia,4.5,3755129,3594416
New Zealand,-0.2,51828,51923
Philippines,-2.0,416595,425238
Singapore,-6.6,9344513,10008379
Thailand,-7.4,1720970,1858784
Brunei,-14.8,1029048,1207103
Japan,-19.2,344030,425999
Vietnam,-27.8,285865,396015
South Korea,-30.4,463504,665798
Cambodia,-31.3,65749,95748
Saudi Arabia,-55.4,54559,122436
