level,seq,gx,gy
1,0,0.0,-0.285714
1,1,0.154469,-0.240358
1,2,0.259895,-0.11869
1,3,0.282806,0.040661
1,4,0.215928,0.187103
1,5,0.080495,0.274141
1,6,-0.080495,0.274141
1,7,-0.215928,0.187103
1,8,-0.282806,0.040661
1,9,-0.259895,-0.11869
1,10,-0.154469,-0.240358
1,11,0.0,-0.285714
2,0,0.0,-0.571429
2,1,0.308938,-0.480716
2,2,0.51979,-0.23738
2,3,0.565612,0.081323
2,4,0.431857,0.374206
2,5,0.16099,0.548282
2,6,-0.16099,0.548282
2,7,-0.431857,0.374206
2,8,-0.565612,0.081323
2,9,-0.51979,-0.23738
2,10,-0.308938,-0.480716
2,11,0.0,-0.571429
3,0,0.0,-0.857143
3,1,0.463406,-0.721074
3,2,0.779685,-0.35607
3,3,0.848418,0.121984
3,4,0.647785,0.561309
3,5,0.241485,0.822423
3,6,-0.241485,0.822423
3,7,-0.647785,0.561309
3,8,-0.848418,0.121984
3,9,-0.779685,-0.35607
3,10,-0.463406,-0.721074
3,11,0.0,-0.857143
