seq,category,avg_hours,count,px,py,lx,ly,ax,ay,align
0,Golf & Driving Ranges,3.14,65,0.0,-0.897143,0.0,-1.142857,0.0,-1.0,center
1,Skating & Rinks,2.83,9,0.437147,-0.680214,0.617875,-0.961433,0.540641,-0.841254,left
2,Martial Arts & Dojos,2.56,9,0.665331,-0.303846,1.039579,-0.47476,0.909632,-0.415415,left
3,Saunas & Spas,2.55,24,0.721156,0.103687,1.131225,0.162646,0.989821,0.142315,left
4,Outdoor & Lawn Sports,2.5,73,0.539821,0.467758,0.863714,0.748412,0.75575,0.654861,left
5,Team Sports & Fields,2.5,37,0.201238,0.685352,0.32198,1.096563,0.281733,0.959493,left
6,Recreation Centers,2.41,148,-0.193993,0.660679,-0.32198,1.096563,-0.281733,0.959493,right
7,Ball Sports,2.36,27,-0.509591,0.441563,-0.863714,0.748412,-0.75575,0.654861,right
8,Gyms & Studios,2.17,366,-0.613689,0.088235,-1.131225,0.162646,-0.989821,0.142315,right
9,Water & Aquatic Sports,1.86,7,-0.483404,-0.220763,-1.039579,-0.47476,-0.909632,-0.415415,right
10,Fishing & Hunting,1.52,225,-0.234793,-0.365344,-0.617875,-0.961433,-0.540641,-0.841254,right
11,Golf & Driving Ranges,3.14,65,0.0,-0.897143,0.0,-1.142857,0.0,-1.0,center
